Celebrity,Designer,Fashion house,Gender presentation,Primary color,Secondary color,Color group,Silhouette,Look category,Material or texture,Theme interpretation,Theme fit,Art reference,Best dressed,Public approval,Vote Yes Percent,Media source,Notes
Hoyeon,Nicolas Ghesquière,Louis Vuitton,Female,Black,,Black,Fitted leather gown with cage overskirt,Leather couture gown / cage-structured look,"Leather, leather flowers, cage structure, glossy surface",Wearable art / Sculptural / Floral armour,Very high,Flower cage / sculptural overskirt,No,Low,33%,Vogue,"Black Louis Vuitton leather gown with a cage-structured overskirt covered in leather flowers. The look feels like wearable sculpture, though public approval was low."
Madonna,Anthony Vaccarello,Saint Laurent,Female,Black,Grey / navy,Black,Column gown with dramatic veil/headpiece,Gothic bridal / theatrical veil look,"Silk, tulle, resin, dramatic veil, gloves",Performance art / Gothic iconography / Theatrical,High,Madonna’s “Like a Virgin” / “Confessions” era visual language,Borderline,Medium-low,44%,Vogue,"Saint Laurent look by Anthony Vaccarello with a dramatic veil, black gown, gloves, and theatrical styling. It strongly connects to Madonna’s own visual history and performance iconography."
Blake Lively,Donatella Versace,Versace,Female,Peach / pastel pink,Peach / pastel pink,Pink,Ball gown with corset bodice and large train,Archival romantic gown / Rococo-inspired gown,"Tulle, layered ruffles, corset bodice, pastel train",Historical painting-inspired / Rococo / Archival fashion,High,18th-century Venetian Rococo paintings; archival Versace 2006,Borderline,Medium-low,42%,Vogue,"Archival Versace gown from 2006, updated with a dramatic 13-foot train. The pastel layers and corseted shape reference 18th-century Rococo painting and romantic historical fashion."
Damson Idris,Miuccia Prada,Prada,Male,Black,Red,Black,Oversized leather coat with straight trousers,Leather menswear / oversized coat look,"Leather, poplin shirt, oversized cuffs",Minimal tailoring / Leather as texture,Low,Classic Prada menswear / utilitarian leather coat,No,Very low,12%,Vogue,"Prada leather look with oversized coat, leather pants, and red shirt cuffs. The outfit is polished, but the concept is very subtle for the “Fashion is Art” theme."
Tschabalala Self,Brandon Blackwood,Brandon Blackwood,Female,White,Silver,White,Corseted bodice with puffed tulip skirt,Sculptural mini gown / ballerina-inspired look,"Structured corset, puffed fabric, satin-like texture",Dance as art / Floral sculpture,Medium-high,Edgar Degas ballerina sculpture; upside-down tulip,No,Very low,7%,Vogue,"Brandon Blackwood look inspired by Edgar Degas’s ballerina sculpture and the idea of an upside-down tulip. The sculptural skirt connects to the theme, but the public approval was very low."
Bee Carrozzini,Sarah Burton,Givenchy,Female,Red,Silver / multicolor,Red,Fitted column gown with fringe hem,Floral embroidered gown / fringe gown,"Embroidery, fringe, floral details, embellished fabric",Craftsmanship as art / Floral embroidery,Medium-high,Floral embroidery and artisanal fashion,No,Low,26%,Vogue,"Givenchy look by Sarah Burton with floral embroidery and fringe, celebrating artistry in fashion through surface detail and handcraft."
Ben Platt,Tanner Fletcher,Tanner Fletcher,Male,Mint green,Cream / pastel,Green,Classic tailored suit,Painted suit / illustrated tailoring,"Silk-wool, hand-painted details, embroidery",Painting-inspired / Illustration as fashion,High,"Georges Seurat, A Sunday Afternoon on the Island of La Grande Jatte",No,Low,28%,Vogue,"Hand-painted and embroidered Tanner Fletcher suit inspired by Georges Seurat’s A Sunday Afternoon on the Island of La Grande Jatte, which is featured in the Costume Art exhibition. Strong theme fit despite low public approval."
Lauren Sánchez Bezos,Daniel Roseberry,Schiaparelli,Female,Navy blue,Silver,Blue,Fitted satin gown,Classic evening gown / painting-inspired gown,"Satin, off-shoulder neckline, brooch detail",Painting-inspired / Old Hollywood glamour,Medium-high,John Singer Sargent’s Madame X,No,Very low,7%,Vogue,"Schiaparelli gown inspired by John Singer Sargent’s Madame X, including the slipped-strap reference. The concept is art-historical, but the execution was not well received by voters."
Isla Johnston,Jack McCollough and Lazaro Hernandez,Loewe,Female,Pale blue,Silver / white,Blue,Straight column gown,Minimal column dress,"Wispy fabric, shimmer, delicate embellishment",Minimalist art / Subtle texture,Low-medium,Minimal modern eveningwear,No,Very low,12%,Vogue,"Pale blue Loewe column dress with a wispy, delicate texture and unexpected leggings underneath. Pretty, but conceptually very subtle for the “Fashion is Art” theme."
Louisa Jacobson,Dilara Findikoglu,Dilara Findikoglu,Female,Silver / grey,Ivory,Silver,Corseted mini dress with long train,Chainmail-inspired dress / medieval couture look,"Metal hardware, chainmail effect, corset, chiffon train, ruff collar",Medieval / Armour as art / Sculptural body,High,Medieval chainmail and ruff collar,No,Low,27%,Vogue,"Dilara Findikoglu chainmail-inspired look with metal hardware, corsetry, chiffon train, and a ruff collar. The look turns medieval armour references into wearable fashion art."
Hunter Schafer,Miuccia Prada,Prada,Female,White / ivory,Blue / grey / pink,White,Fitted gown with dramatic train,Painting-inspired gown / archival art gown,"Soft fabric, printed textile, sculptural cutouts, long train",Painting-inspired / Archival reference / Romantic art,Very high,Klimt’s Mäda Primavesi 1912/1913,Borderline,Medium / borderline,47%,Vogue,"Custom Prada look inspired by Klimt’s Mäda Primavesi. The floral train, soft color palette, and artistic textile effect make the gown feel like a delicate painting translated into fashion. Strong theme fit despite being under 50% in the vote."
